#combination,result
3d glasses+printer,3d printer
paper+marker,letter
paper+metal,clipboard
paper+paper,book
paper+pen,letter
paper+pencil,letter
paper+rotary phone,fax machine
paper+scissors,confetti
paper+sickness,tissue
paper+smartphone,fax machine
paper+time,newspaper
paper+typewriter,book
paper+wood,cardboard
parrot+boat,pirate ship
parrot+fish,parrotfish
parrot+human,parakeet
parrot+parrot,toucan
parrot+soldier,pirate
parrot+tree,palm tree
pea+nut,bean
pea+vegetable,bean
peacock+peacock,egg
peanut+butter,peanut butter
peanut+plastic,packing peanut
peanut+pressure,peanut butter
peanut+tool,nutcracker
peanut+tree,walnut
pear+berry,avocado
pearl+pearl,bracelet
peat+time,coal
pebble+air,sand
pebble+big,stone
pebble+explosion,dust
pebble+hammer,dust
pebble+pebble,cobblestone
pebble+pickaxe,dust
pebble+puddle,dust
pebble+small,sand
pebble+water,sand
pebble+wind,sand
pen+color,marker
pen+human,author
pen+machine,typewriter
pen+paint,marker
pen+paintbrush,marker
pen+plastic,marker
pen+rainbow,marker
pencil+blade,pencil sharpener
pencil+blender,pencil sharpener
pencil+human,author
pencil+machine,typewriter
penguin+air,puffin
penguin+heat,puffin
penguin+penguin,egg
penguin+small,puffin
pepper+green,jalapeno
pharaoh+stone,statue
pharmacist+house,pharmacy
philosopher's stone+bronze,gold
philosopher's stone+cobalt,gold
philosopher's stone+human,alchemist
philosopher's stone+mithril,gold
philosopher's stone+quicksilver,gold
philosopher's stone+rust,gold
philosopher's stone+silver,gold
philosopher's stone+steel,gold
philosopher's stone+zinc,gold
phoenix+green,dragon
phoenix+phoenix,egg
phosphorus+proton,sulfur
phosphorus+stick,match
phosphorus+toothpick,match
phosphorus+torch,match
photon+electricity,lightbulb
photon+glass,color
photon+house,lighthouse
photon+machine,lightbulb
photon+opposite,darkness
photon+planet,star
photon+prism,color
photon+rain,rainbow
photon+space,star
photon+water,rainbow
photon+weapon,laser pointer
piano+energy,music
piano+human,musician
pickaxe+anvil,axe
pickaxe+box,toolbox
pickaxe+cave,gem
pickaxe+human,miner
pickaxe+ice,ice sculpture
pickaxe+machine,drill
pickaxe+mountain range,cave
pickle+ocean,sea cucumber
pickle+pressure,relish
pickle+sea,sea cucumber
picnic basket+family,picnicker
picnic blanket+box,picnic basket
picnic blanket+family,picnicker
picture+cat,meme
picture+dog,meme
picture+glue,sticker
picture+human,portrait
picture+internet,meme
picture+machine,camera
picture+metal,camera
picture+picture,video
picture+sound,video
pie+cream,whoopie pie
pig+animal,boar
pig+bacteria,virus
pig+bbq,ham
pig+big,boar
pig+blade,pork
pig+brown,boar
pig+devolution,boar
pig+evil,boar
pig+flu,swine flu
pig+house,barn
pig+hunter,pork
pig+knife,pork
pig+money,piggy bank
pig+mouse,hamster
pig+mushroom,truffle
pig+pig,pig
pig+plant,truffle
pig+rabbit,aardvark
pig+rat,guinea pig
pig+small,guinea pig
pig+sword,pork
pig+tool,pork
pig+trash,feces
pig+tusk,boar
pigeon+boulder,eagle
pigeon+dinosaur,dodo
pigeon+duck,swan
pigeon+flower,hummingbird
pigeon+garden,hummingbird
pigeon+hill,eagle
pigeon+machine,plane
pigeon+metal,plane
pigeon+mosquito,hummingbird
pigeon+mountain,eagle
pigeon+mouse,crow
pigeon+pigeon,egg
pigeon+rat,crow
pigeon+singer,hummingbird
pigeon+small,hummingbird
pigeon+sound,hummingbird
pigeon+steel,plane
pigeon+stone,corpse
pigeon+white,dove
pilgrim+boat,america
pilgrim+ocean,america
pill+house,pharmacy
pill+human,pharmacist
pill+plastic,pill bottle
pillow+insect,bedbug
pillow+thread,carpet
pillow+wool,carpet
pilot+air,plane
pilot+bird,plane
pilot+car,plane
pilot+house,airport
pilot+machine,plane
pilot+metal,plane
pilot+road,runway
pilot+steel,plane
pilot+tool,plane
pilot+truck,plane
pink+black,red
pink+darkness,red
pink+opposite,brown
pipe+blood,heart
pipe+metal,toilet
pipe+organ,heart
pipe+porcelain,toilet
pipe+throne,toilet
pipe+tower,water tower
piranha+nice,fish
piranha+piranha,egg
pirate ship+animal,parrot
pirate ship+bottle,ship in a bottle
pirate ship+glass,ship in a bottle
pirate ship+gun,cannon
pirate ship+human,pirate
pirate ship+nice,ship
pirate ship+pigeon,parrot
pirate ship+pirate,sailor
pirate ship+spoon,paddle
pirate ship+tank,cannon
pirate+animal,parrot
pirate+boat,pirate ship
pirate+cannon,pirate ship
pirate+map,gold
pirate+pigeon,parrot
pirate+ship,pirate ship
pirate+water,pirate ship
pirate+wood,pirate ship
pitchfork+gold,trident
pitchfork+leaf,rake
pitchfork+small,fork
pizza+baguette,breadstick
pizza+box,pizza box
pizza+cardboard,pizza box
pizza+country,italy
placeholder60d+placeholder60d,god himself
plane+blade,helicopter
plane+bomb,missile
plane+box,cargo plane
plane+gun,machine gun
plane+house,airport
plane+human,pilot
plane+metal,aluminum
plane+road,runway
plane+robot,drone
plane+train,cargo plane
plane+weapon,missile
plane+wind,jet
planet+big,exoplanet
planet+energy,star
planet+glass,telescope
planet+glasses,telescope
planet+life,alien
planet+map,globe
planet+meteor,crater
planet+opposite,star
planet+planet,solar system
planet+small,dwarf planet
planet+stone,moon
plankton+big,fish
plankton+electricity,jellyfish
plankton+energy,fish
plankton+evolution,fish
plankton+fish,whale
plankton+lake,algae
plankton+lightning,jellyfish
plankton+plankton,fish
plankton+plant,fish
plankton+pond,algae
plankton+seaweed,fish
plankton+small,amoeba
plankton+stone,coral
plant+baby,mandrake
plant+bacteria,mushroom
plant+big,tree
plant+blood,blood meal
plant+bone,bonemeal
plant+brown,potato
plant+carbon dioxide,oxygen
plant+chewing tobacco,tobacco
plant+child,mandrake
plant+city,forest
plant+color,flower
plant+demon,marijuana
plant+devil,marijuana
plant+double rainbow,flower
plant+earth,grass
plant+energy,sugar
plant+farmer,wheat
plant+fence,garden
plant+field,wheat
plant+fire,smoke
plant+fish,plankton
plant+glass,greenhouse
plant+grass,wheat
plant+green,vegetable
plant+ground pepper,herb
plant+house,greenhouse
plant+human,wheat
plant+ladder,vine
plant+lake,algae
plant+lava,ash
plant+leaf,tree
plant+leprechaun,four leaf clover
plant+light,oxygen
plant+medicine,herb
plant+mexico,cocoa
plant+milk,latex
plant+money,tobacco
plant+ocean,coral
plant+oil,plastic
plant+opposite,mushroom
plant+orange,carrot
plant+paint,watermelon
plant+panda,bamboo
plant+photon,oxygen
plant+plant,shrub
plant+poison,poison ivy
plant+pollen,seed
plant+pond,reed
plant+pottery,flower pot
plant+rainbow,flower
plant+red,apple
plant+salt,herb
plant+sand,cactus
plant+sea,coral
plant+sickness,mushroom
plant+small,grass
plant+star,oxygen
plant+swamp,lilypad
plant+teenager,mandrake
plant+time,tree
plant+town,forest
plant+triple rainbow,flower
plant+virus,mushroom
plant+volcano,ash
plant+wall,ivy
plant+water,tree
plant+wind,butterfly
plant+yard,grass
plasma+earth,lava
plasma+fire,energy
plasma+heat,plasma
plasma+plasma,energy
plasma+weapon,laser pointer
plaster+brick,wall
plaster+concrete,wall
plaster+wall,house
plaster+wood,wall
plastic+air,balloon
plastic+beer,bottle
plastic+box,bag
plastic+carbonated water,bottle
plastic+chess board,chess piece
plastic+child,doll
plastic+continent,globe
plastic+cookie dough,cookie cutter
plastic+dough,cookie cutter
plastic+earth,globe
plastic+fire,oil
plastic+fish,jellyfish
plastic+head,mask
plastic+heat,oil
plastic+heatwave,oil
plastic+house,factory
plastic+ice,ski
plastic+juice,bottle
plastic+map,globe
plastic+milk,bottle
plastic+mountain,ski
plastic+paper,bottle
plastic+planet,globe
plastic+plasma,oil
plastic+plastic,bag
plastic+pressure,bag
plastic+rope,balloon
plastic+snow,ski
plastic+tap water,bottle
plastic+teenager,doll
plastic+video,television
plastic+water,bottle
pocket knife+wood,stake
poison+air,ammonia
poison+chlorine,chloroform
poison+paper,cigarette
poison+soap,bleach
polar bear+bear,panda
polar bear+evil,bear
polar bear+forest,bear
polar bear+fox,arctic fox
police+blood,doctor
police+car,police car
police+courthouse,judge
police+fire,firefighter
police+heart,doctor
police+house,police station
police+magic,superhero
police+nail,spike strip
police+nice,doctor
police+president,judge
police+weapon,gun
pollen+beetle,bee
pollen+flower,flower
pollen+fly,bee
pollen+grass,flower
pollen+human,allergy
pollen+sickness,allergy
pond+animal,fish
pond+chicken,duck
pond+dinosaur,brachiosaurus
pond+earth,puddle
pond+egg,fish
pond+flower,lilypad
pond+hill,river
pond+lizard,alligator
pond+mountain,river
pond+owl,duck
pond+pigeon,duck
pond+pond,lake
pond+puddle,lake
pond+shovel,lake
pond+water,lake
pool ball+black,8 ball
pool ball+stick,pool stick
porcelain+ash,ash tray
porcelain+fruit,dish
porcelain+meat,dish
porcelain+vegetable,dish
porcelain+water,sink
porcupine+bear,badger
porcupine+bird,kiwi
porcupine+egg,echidna
porcupine+hair,hedgehog
porcupine+hamster,hedgehog
porcupine+hummingbird,kiwi
porcupine+mouse,hedgehog
porcupine+platypus,echidna
pork+ball,meatball
pork+bbq,ham
pork+blade,bacon
pork+chef,ham
pork+fire,bacon
pork+heat,ham
pork+human,feces
pork+knife,bacon
pork+microwave,bacon
pork+oven,ham
pork+scissors,pepperoni
pork+stick,hotdog
pork+toaster,bacon
portrait+human,selfie
poseidon+weapon,trident
post office+box,postbox
potassium+proton,calcium
potato+country,ireland
potato+fire,french fry
potato+grease,french fry
potato+heat,french fry
potato+microwave,french fry
potato+oil,french fry
potato+oven,french fry
potato+plasma,chip
potato+pressure,chip
potato+red,beet
potato+sickness,potato blight
potato+sugar,sweet potato
potato+toaster,french fry
pottery+coin,piggy bank
pottery+double rainbow,paint
pottery+earth,flower pot
pottery+flower,flower pot
pottery+glass,porcelain
pottery+human,potter
pottery+pig,piggy bank
pottery+rainbow,paint
pottery+soil,flower pot
pottery+triple rainbow,paint
prairie dog+africa,civet
prairie dog+cheetah,civet
present+evil,pandora's box
present+god,pandora's box
present+human,santa
present+nice,pandora's box
present+paper,wrapping paper
president+america,ballot
president+box,ballot
president+devolution,king
president+ink,ballot
president+paper,ballot
president+pen,ballot
president+pencil,ballot
president+time,ballot
pressure+air,wind
pressure+bacon,grease
pressure+beef,grease
pressure+charcoal,diamond
pressure+cheeseburger,grease
pressure+copper,coin
pressure+corpse,coal
pressure+dinosaur,coal
pressure+earth,earthquake
pressure+energy,explosion
pressure+fire,explosion
pressure+glasses,glass
pressure+grass,coal
pressure+ham,grease
pressure+hamburger,grease
pressure+meat,grease
pressure+mud,brick
pressure+plant,coal
pressure+pond,whirlpool
pressure+pork,grease
pressure+silver,coin
pressure+steak,grease
pressure+stone,sand
pressure+swamp,peat
pressure+tool,air pump
pressure+wind,hurricane
priest+water,holy water
prince+gold,crown
prince+house,mansion
prince+opposite,princess
prince+time,king
prince+wind,crown
princess+gold,crown
princess+house,tower
princess+opposite,prince
princess+time,queen
princess+wind,crown
printer+devolution,fax machine
printer+plastic,3d printer
prism+light,color
prisoner+house,prison
proton+electron,magnet
proton+metal,magnet
proton+proton,magnet
proton+small,up quark
pterodactyl+ash,phoenix
pterodactyl+dragon,phoenix
pterodactyl+fire,phoenix
pterodactyl+green,dragon
pterodactyl+pterodactyl,egg
puddle+animal,worm
puddle+earth,mud
puddle+energy,bacteria
puddle+flower,lilypad
puddle+heat,steam
puddle+lava,stone
puddle+pressure,steam
puddle+puddle,pond
puddle+shovel,pond
puddle+star,steam
puddle+time,steam
puddle+water,pond
pug+cheetah,civet
pumpkin+blade,jack-o-lantern
pumpkin+candle,jack-o-lantern
pumpkin+chinese lantern,jack-o-lantern
pumpkin+cookie dough,pumpkin pie
pumpkin+dough,pumpkin pie
pumpkin+fire,jack-o-lantern
pumpkin+green,zucchini
pumpkin+heat,pumpkin pie
pumpkin+knife,jack-o-lantern
pumpkin+lamp,jack-o-lantern
pumpkin+light,jack-o-lantern
pumpkin+lightbulb,jack-o-lantern
pumpkin+oil lamp,jack-o-lantern
pumpkin+oven,pumpkin pie
pumpkin+pie,pumpkin pie
pumpkin+tool,jack-o-lantern
pumpkin+torch,jack-o-lantern
pumpkin+yellow,squash
purple+berry,grape
purple+opposite,yellow
purple+small,ultraviolet
pyramid+cat,sphinx
pyramid+lion,sphinx
pyrite+copper,bornite
quantum physics+3d printer,item fabricator
quantum physics+air,teleporter
quantum physics+car,teleporter
quantum physics+machine,teleporter
queen ant+earth,anthill
queen ant+house,anthill
queen ant+sand,anthill
queen ant+soil,anthill
queen ant+worm,millipede
queen+chair,throne
queen+city,kingdom
queen+country,kingdom
queen+egypt,pharaoh
queen+evolution,president
queen+fish,ladyfish
queen+gold,crown
queen+house,castle
queen+king,prince
queen+queen,kingdom
queen+town,kingdom
queen+wind,crown
rabbit+antler,jackalope
rabbit+big,kangaroo
rabbit+blade,rabbit's foot
rabbit+deer,jackalope
rabbit+hunter,hair
rabbit+magic,easter bunny
rabbit+moose,jackalope
rabbit+rabbit,rabbit
rabbit+reindeer,jackalope
rabbit+vegetable,carrot
raccoon+cat,skunk
raccoon+elephant,anteater
raccoon+forest,badger
raccoon+nose,skunk
race car+animal,horse
race car+human,race car driver
radiation+earth,uranium
radiation+element,uranium
radiation+human,death
radiation+ocean,pollution
radiation+planet,pollution
radiation+stone,uranium
radiation+weapon,nuke
radio station+human,radio host
radio station+tower,radio tower
radio tower+cellphone,cell tower
radio tower+computer,cell tower
radio tower+human,radio host
radio tower+internet,cell tower
radio tower+smartphone,cell tower
radio tower+text,cell tower
radio+electricity,music
radio+energy,music
radio+house,radio station
radio+human,radio host
radio+tower,radio tower
radish+big,turnip
railroad+nail,railroad spike
rain+big,hurricane
rain+clothing,raincoat
rain+cold,snow
rain+electricity,lightning
rain+energy,lightning
rain+fire,smoke
rain+heat,hurricane
rain+hole,puddle
rain+house,storm cellar
rain+hurricane,flood
rain+ice,hail
rain+jungle,rainforest
rain+lake,sea
rain+lava,stone
rain+ocean,hurricane
rain+pond,lake
rain+puddle,pond
rain+rain,lightning
rain+sand,sandstorm
rain+sea,hurricane
rain+seed,plant
rain+shirt,raincoat
rain+sickness,acid rain
rain+smoke,acid rain
rain+soil,plant
rain+sound,thunder
rain+stick,umbrella
rain+time,flood
rain+water,flood
rain+wave,tsunami
rainbow+bird,parrot
rainbow+double rainbow,triple rainbow
rainbow+glass,prism
rainbow+lizard,chameleon
rainbow+pencil,crayon
rainbow+pirate ship,parrot
rainbow+pirate,parrot
rainbow+rainbow,double rainbow
rainbow+sugar,candy
rainbow+wax,crayon
rainforest+ocean,coral reef
rake+machine,leaf blower
rake+wind,leaf blower
raspberry+animal,bear
raspberry+plant,bush
rat+air,bat
rat+australia,jerboa
rat+bush,hedgehog
rat+crow,magpie
rat+earth,mole
rat+elephant,aardvark
rat+hole,mole
rat+kangaroo,jerboa
rat+leg,jerboa
rat+lemur,aye-aye
rat+nail,porcupine
rat+needle,porcupine
rat+rabbit,aye-aye
rat+rat,rat
rat+river,dam
rat+sand,hamster
rat+shovel,mole
rat+small,mouse
rat+water,beaver
rat+wheel,hamster
rat+wood,beaver
rattle+snake,rattlesnake
ray+electricity,stingray
ray+energy,stingray
record+energy,music
record+machine,jukebox
record+pressure,music
recyclable+box,recycling bin
recyclable+trashcan,recycling bin
recyclable+truck,recycling truck
red+big,infrared
red+blue,purple
red+carp,salmon
red+fish,salmon
red+grape,cherry
red+heat,infrared
red+light,pink
red+opposite,blue
red+white,pink
red+yellow,orange
reed+blade,sugar
reed+evolution,beet
reed+field,sugar
reed+lake,swamp
reed+pond,swamp
reed+pressure,sugar
reed+scientist,beet
reed+scissors,sugar
reed+tool,paper
reed+wheel,windmill
reed+windmill,sugar
reindeer+blade,antler
religion+bird,stork
religion+book,bible
religion+human,priest
religion+necklace,amulet
religion+stick,cross
religion+tool,cross
religion+tree,christmas tree
religion+water,holy water
rescue helicopter+human,pilot
rhinoceros+rhinoceros,hippopotamus
rice+cookie,rice cracker
rice+earth,field
rice+rice,rice ball
rice+stick,noodle
ring+box,jewelry box
ring+hair,hairpin
ring+planet,saturn
river+air,waterfall
river+bacteria,plankton
river+bird,duck
river+crab,isopod
river+earth,mud
river+fish,trout
river+flower,lilypad
river+god,chinese dragon
river+leaf,watercress
river+mud,swamp
river+pebble,sand
river+plant,watercress
river+rain,pond
river+statue,fountain
river+stick,dam
river+stone,pebble
river+time,canyon
river+tree,dam
river+wall,dam
river+water,lake
river+wheel,water wheel
river+wood,bridge
rna+bacteria,virus
rna+big,dna
rna+rna,virus
road+big,highway
road+cave,mineshaft
road+fence,roadblock
road+hole,tunnel
road+money,parking meter
road+mountain,tunnel
road+plastic,traffic cone
road+river,bridge
road+road,highway
road+sign,street sign
road+stick,traffic cone
robot+animal,animatronic
robot+brain,ai
robot+dog,robot dog
robot+knowledge,ai
robot+life,cyborg
robot+machine,personal assistant
robot+smartphone,personal assistant
robot+vacuum,robot vacuum
rocket+atmosphere,satellite
rocket+element,titanium
rocket+human,astronaut
rocket+internet,satellite
rocket+metal,titanium
rocket+planet,satellite
rocket+space,satellite
rocket+steel,titanium
rocket+weapon,missile
roe+chef,caviar
roe+fire,caviar
roe+frog,tadpole
roe+human,caviar
roe+lizard,tadpole
roe+microwave,caviar
roe+oven,caviar
roe+pond,tadpole
roe+salt,caviar
roe+time,fish
roe+tool,caviar
roe+turtle,tadpole
roller skate+human,skater
rope+human,cowboy
rope+weapon,whip
rose+bird,hummingbird
rubber+carpet,gymnastic mat
rubber+foot,shoe
rubber+hand,glove
rubber+metal,tire
rubber+plastic,shoe
rubber+rubber,elastic
rubber+steel,tire
rubber+stone,eraser
rubber+thread,shoe
ruby+stone,philosopher's stone
ruler+box,toolbox
rum+house,bar
rum+human,alcoholic
runway+house,airport
runway+runway,airport
rust+juice,acid
rust+planet,mars
rust+rain,acid
rust+time,acid
rust+water,acid
saddle+farmer,cowboy
saddle+human,cowboy
saddle+wood,saddlebag
saddlebag+sand,sandbag
safe+house,bank
sailboat+air,plane
sailboat+hook,anchor
sailboat+human,sailor
sailboat+kraken,death
sailboat+metal,anchor
sailboat+steel,anchor
sailor+hook,anchor
sailor+metal,anchor
sailor+steel,anchor
salad+vegetable,lettuce
salad+vinegar,salad dressing
salamander+mexico,axolotl
salamander+newt,axolotl
salamander+pink,axolotl
salamander+small,newt
salmon+animal,bear
salmon+clownfish,shark
salmon+fish,shark
salmon+trout,shark
salt water+energy,plankton
salt+black,ground pepper
salt+geyser,plankton
salt+ocean,plankton
salt+oil,plastic
salt+opposite,ground pepper
salt+soda,sodium
salt+vine,ground pepper
salt+water,salt water
sand castle+big,pyramid
sand castle+mansion,pyramid
sand+air,dust
sand+big,pebble
sand+bird,vulture
sand+box,sandbox
sand+castle,sand castle
sand+clay,silt
sand+earth,sandstone
sand+electricity,silicon
sand+fire,glass
sand+glass,hourglass
sand+grave,pyramid
sand+gravel,concrete
sand+gunpowder,tnt
sand+heat,glass
sand+horse,camel
sand+house,sand castle
sand+hurricane,sandstorm
sand+lake,beach
sand+lava,glass
sand+ocean,beach
sand+oyster,pearl
sand+paper,sandpaper
sand+plasma,glass
sand+pressure,silicon
sand+rabbit,kangaroo
sand+sand,beach
sand+sea,beach
sand+spider,trilobite
sand+sulfur,tnt
sand+swamp,quicksand
sand+time,sandstone
sand+town,village
sand+water,beach
sand+wind,sandstorm
sand+witch,sandwich
sand+wool,sandpaper
sand+worm,snake
sandpaper+fingernail,nail file
sandstorm+bird,vulture
sandstorm+sandstorm,sand
sandstorm+time,sand
sandwich+sandwich,hamburger
sandwich+steak,hamburger
santa+animal,reindeer
santa+book,bible
santa+opposite,mrs. claus
santa+time,immortality
sap+air,amber
sap+candy,chicle
sap+gem,amber
sap+heat,syrup
sap+machine,tapper
sap+metal,tapper
sap+milk,latex
sap+oil,rubber
sap+plastic,rubber
sap+sugar,maple syrup
sap+time,amber
sapper+tool,drill
satellite+big,space station
satellite+human,astronaut
satellite+rocket,space station
satellite+satellite,internet
sauna+country,finland
saw+bird,blood
saw+fish,sawfish
saw+house,workshop
saw+metal,hacksaw
saw+tree,wood
saw+wood,sawdust
sawdust+earth,mulch
school+book,yearbook
school+bus,school bus
school+car,bus
school+human,teacher
school+school,middle school
school+stick,ruler
school+truck,bus
scientist+animal,rat
scientist+atmosphere,meteorologist
scientist+canyon,geographer
scientist+cell,medicine
scientist+cloud,meteorologist
scientist+energy,electricity
scientist+house,lab
scientist+hurricane,meteorologist
scientist+mountain,geographer
scientist+rain,meteorologist
scientist+scientist,idea
scientist+snow,meteorologist
scissors+bird,feather
scissors+chicken,feather
scissors+machine,blender
scissors+metal,blender
scissors+scissors,fan
scissors+wire,pliers
scooter+electricity,power scooter
scorpion+beach,crab
scorpion+continent,australia
scorpion+country,australia
scorpion+ocean,crab
scorpion+scorpion,egg
scorpion+sea,crab
scorpion+tool,poison
scorpion+water,crab
scotland+clothing,kilt
screw+electricity,drill
screw+machine,drill
screw+tool,screwdriver
screwdriver+electricity,drill
screwdriver+machine,drill
scroll+newspaper,book
scroll+paper,book
scroll+scroll,book
scuba diver+clothing,scuba tank
scuba diver+glass,scuba tank
scuba tank+human,scuba diver
scythe+human,farmer
scythe+river,grim reaper
sea lion+big,walrus
sea lion+brown,walrus
sea lion+elephant,walrus
sea lion+spear,narwhal
sea lion+sword,narwhal
sea lion+swordfish,narwhal
sea lion+tooth,walrus
sea lion+tusk,walrus
sea lion+unicorn,narwhal
sea turtle+sea turtle,egg
sea+bone,coral
sea+dog,seal
sea+earth,island
sea+ferret,otter
sea+fire,salt
sea+fossil,coral
sea+hook,anchor
sea+horse,seahorse
sea+house,coral
sea+human,scuba diver
sea+king,poseidon
sea+lake,ocean
sea+lion,sea lion
sea+moss,seaweed
sea+pig,sea pig
sea+plane,seaplane
sea+pressure,wave
sea+sea,ocean
sea+shovel,sinkhole
sea+spear,fish
sea+star,salt
sea+tornado,hurricane
sea+water,ocean
sea+wind,wave
seagull+big,albatross
seagull+boat,plane
seagull+car,plane
seagull+cheetah,albatross
seagull+energy,pelican
seagull+fish,pelican
seagull+flower,hummingbird
seagull+garden,hummingbird
seagull+machine,plane
seagull+metal,plane
seagull+mosquito,hummingbird
seagull+sailboat,plane
seagull+seagull,pelican
seagull+ship,plane
seagull+singer,hummingbird
seagull+small,hummingbird
seagull+sound,hummingbird
seagull+steam engine,plane
seagull+steamboat,plane
seagull+steel,plane
seagull+train,plane
seagull+truck,plane
seal+big,walrus
seal+brown,walrus
seal+elephant,walrus
seal+lion,sea lion
seal+otter,sea lion
seal+seal,walrus
seal+spear,narwhal
seal+sword,narwhal
seal+swordfish,narwhal
seal+tooth,walrus
seal+tusk,walrus
seal+unicorn,narwhal
seaplane+house,airport
seaplane+road,runway
seaweed+caviar,sushi
seaweed+element,iodine
seaweed+fire,iodine
seed+beach,palm tree
seed+color,flower
seed+double rainbow,flower
seed+earth,plant
seed+energy,coffee
seed+fruit,watermelon
seed+mexico,cocoa
seed+rainbow,flower
seed+sand,cactus
seed+soup,bean
seed+star,plant
seed+time,plant
seed+triple rainbow,flower
shallot+big,onion
shark+big,megalodon
shark+cow,manatee
shark+devolution,megalodon
shark+dinosaur,megalodon
shark+hippopotamus,whale
shark+house,aquarium
shark+lake,piranha
shark+nice,dolphin
shark+pond,piranha
shark+river,piranha
shark+shark,whale
shark+small,piranha
shark+tool,hammerhead
sheep+blade,mutton
sheep+fire,mutton
sheep+forest,deer
sheep+grain,wool
sheep+grass,wool
sheep+horse,llama
sheep+mountain goat,alpaca
sheep+plant,cotton
sheep+scissors,wool
sheep+sheep,sheep
sheep+sword,mutton
sheep+tool,wool
sheepdog+animal,sheep
sheepdog+cheetah,civet
sheet music+accordion,music
sheet music+bagpipes,music
sheet music+drum,music
sheet music+electric guitar,music
sheet music+energy,music
sheet music+flute,music
sheet music+guitar,music
sheet music+harp,music
sheet music+human,musician
sheet music+piano,music
sheet music+trumpet,music
shell+animal,turtle
shell+life,oyster
shell+lizard,turtle
shell+ocean,crab
shell+sand,chalk
shell+shell,oyster
shell+stone,limestone
shell+water,crab
shell+worm,snail
shield+magic,forcefield
ship+air,plane
ship+bottle,ship in a bottle
ship+evil,pirate ship
ship+glass,ship in a bottle
ship+hook,anchor
ship+human,sailor
ship+kraken,death
ship+metal,anchor
ship+scythe,grim reaper
ship+spoon,paddle
ship+steel,anchor
shirt+antarctica,jacket
shirt+cold,jacket
shirt+ice,jacket
shirt+opposite,pants
shirt+shirt,jacket
shirt+snow,jacket
shoe+beach,sandal
shoe+bicycle,roller skate
shoe+big,boot
shoe+blade,ice skate
shoe+car,roller skate
shoe+desert,sandal
shoe+dune,sandal
shoe+heat,sandal
shoe+heatwave,sandal
shoe+human,foot
shoe+lava,rubber
shoe+rubber,boot
shoe+sand,sandal
shoe+shoe,boot
shoe+wheel,roller skate
shotgun+human,corpse
shovel+cave,mineshaft
shovel+small,spoon
shower+human,water
shrimp+fire,fried shrimp
shrimp+plankton,krill
shrimp+sea cucumber,lobster
shrimp+turtle,sea cucumber
shrub+shrub,hedge
shuriken+human,ninja
sickness+air,flu
sickness+bird,avian flu
sickness+car,ambulance
sickness+cigarette,cancer
sickness+crow,avian flu
sickness+dna,virus
sickness+doctor,medicine
sickness+evil,cancer
sickness+knight,doctor
sickness+mask,medical mask
sickness+meat,salmonella
sickness+ocean,seasickness
sickness+opposite,medicine
sickness+paper,medical mask
sickness+pig,swine flu
sickness+pigeon,avian flu
sickness+plastic,medical mask
sickness+rat,bubonic plague
sickness+rna,virus
sickness+sickness,sickness
sickness+smoke,cancer
sickness+truck,ambulance
sickness+wall,hospital
sickness+water,poison
sickness+wool,medical mask
sign+car,stop sign
silicon+proton,phosphorus
silkworm+air,string
silkworm+bird,moth
silkworm+fly,moth
silkworm+silkworm,silkworm
silkworm+time,string
silkworm+tool,string
silver+gold,platinum
silver+metal,zinc
silver+paper,film paper
silver+water,mercury
silver+white,magnesium
singer+house,concert hall
singer+singer,band
singer+tool,microphone
sink+big,bathtub
sink+blade,garbage disposal
sink+metal,faucet
sink+sink,bathtub
skateboard+air,hoverboard
skateboard+human,skater
skateboard+metal,scooter
skeleton+bird,vulture
skeleton+head,skull
skeleton+light,x-ray
skeleton+machine,x-ray
skeleton+photon,x-ray
ski goggles+human,skier
ski+glasses,ski goggles
ski+human,skier
skull+bird,vulture
skull+brain,head
skull+flesh,head
skull+light,x-ray
skull+photon,x-ray
skull+time,fossil
skunk+raccoon,opossum
skydiver+magic,angel
skyscraper+car,elevator
skyscraper+house,hotel
skyscraper+light,lighthouse
skyscraper+photon,lighthouse
skyscraper+radio,radio tower
skyscraper+skyscraper,city
skyscraper+sound,radio tower
skyscraper+wire,elevator
slave+human,slave owner
slime+evil,flan
slime+fish,blobfish
slime+insect,slug
slime+magic,flan
slime+shell,snail
slime+worm,slug
slug+clam,snail
slug+opposite,snail
slug+salt,slime
slug+shell,snail
slug+stone,snail
slug+water,snail
slush+energy,water
small+evil,goblin
small+raygun,shrink ray
smartphone+big,tablet
smartphone+book,ebook
smartphone+jukebox,mp3 player
smartphone+keyboard,text
smartphone+pen,text
smartphone+pencil,text
smartphone+smartphone,tablet
smartphone+stick,selfie stick
smartphone+toy,video game
smartphone+watch,smartwatch
smartphone+wheel,rotary phone
smartphone+wire,charging cord
smoke+energy,fire
smoke+farmer,tobacco
smoke+field,tobacco
smoke+fire,fire
smoke+grass,tobacco
smoke+grenade,smoke grenade
smoke+heat,fire
smoke+house,chimney
smoke+paper,cigarette
smoke+plant,tobacco
smoke+pork,ham
smoke+smoke,pollution
smoke+time,pollution
smoke+tool,smoke machine
smokestack+house,factory
snail+beach,crab
snail+ocean,crab
snail+opposite,slug
snail+salt,slime
snail+water,crab
snail+wind,slug
snake+big,cobra
snake+bird,quetzalcoatl
snake+blade,rattle
snake+computer,python
snake+crocodile,anaconda
snake+desert,krait
snake+double rainbow,chameleon
